Stock,P&L,Annualized Return,Annualized VOlatiliy,Sharpe,Sortino,Maximum DrawDown,Maximum Drawdown Days,Profitability,Ratio Profitability,Skewness
GOOGL,3380.7493423194883,15.652148639453145,43.748309496530666,0.007820123088928824,0.18244877301851256,14.155889357001945,24,52.84552845528455,0.9440105907454073,-0.2921811668251279
AAPL,6078.995373390198,26.7617934831031,40.8593617862952,0.024734612266157904,0.5810243517921652,18.061458277201965,22,50.8130081300813,1.0656553993913498,-0.1737187210786345
IBM,2090.156096717834,9.940971692211487,27.966397660030747,0.013178938237656401,0.303025005782564,23.219167238294304,118,53.048780487804876,0.9334151671230242,-0.3672564548694376
BIDU,4332.827624176025,19.69031466819726,32.91169845751842,0.025012449703703726,0.62272656043522,15.052463629643716,34,54.67479674796748,0.9086082483998226,-0.13923499141419993
JPM,7019.916875076295,30.412957433058295,35.40034095919018,0.03741173574196038,0.9366590451258807,12.580737757923131,65,52.235772357723576,1.0294890534023942,-0.08132160695625452
BLK,4699.166712982178,21.20818009423049,33.07656289723035,0.027217349583996894,0.6764633632137071,10.20739535373546,4,52.84552845528455,0.9806682090460376,0.06449693214471122
XOM,1106.059632209779,5.377729698546796,17.88719904168205,0.013332031866988225,0.36028355829486586,19.558365395158223,295,51.6260162601626,0.9806539536451844,0.07491881124083832
VOW3.DE,6496.247879882812,28.393753896547125,48.37745394802893,0.018302473791505965,0.43707015580089414,21.869543216264738,154,53.65853658536585,0.9425260956194186,-0.3459616880671587
TM,994.9496509552009,4.85000282839223,24.88209403092511,0.0045057660260392745,0.11596273436422583,18.45772261524185,140,50.8130081300813,0.9999719288460668,-0.07800896718920586
KO,837.5756806335448,4.097950285548735,23.939481275229056,0.0033363186976993575,0.08882424158170862,14.328095806301013,174,53.2520325203252,0.9019247164949047,-0.021908401470332968
MCD,2612.8137413024906,12.288954013179287,35.654951637417206,0.009865804959749095,0.22875188117782658,15.484122895366259,120,51.21951219512195,1.0070945509517144,-0.26716145177424977
