Stock,P&L,Annualized Return,Annualized VOlatiliy,Sharpe,Sortino,Maximum DrawDown,Maximum Drawdown Days,Profitability,Ratio Profitability,Skewness
GOOGL,10026.599930088043,15.453576258071022,70.62113418912529,-0.0095192569898634,-0.24123622827292732,44.092504987046944,203,49.959316517493896,1.0280138689120073,-0.0697332519391715
AAPL,15364.227207424163,21.23833518942435,91.11956556984957,-0.015325101794323568,-0.3521967095204219,30.23380179136011,218,51.26118795768918,0.9825029540922123,-0.2710760131615753
IBM,-887.6947237396234,-1.9050981023801539,29.784758502415293,-0.013380416760483172,-0.30921908847741286,38.5799153809923,528,49.959316517493896,0.9898930576268704,-0.2872914267470483
BIDU,-5282.533742019654,-14.397766152811597,54.7831454447652,-0.03490846489497749,-0.823628419316535,69.22817405252344,438,49.22701383238405,0.9880821331506031,-0.1951137865393819
JPM,339.02951684570326,0.6922623337526579,47.13818321315456,-0.013898013651673513,-0.3410427155360757,37.57573924731316,243,49.959316517493896,1.0037808072367282,-0.12110313507076811
BLK,-362.6741787414503,-0.761463669071849,46.933367574806496,-0.015779877667665174,-0.3691026137433391,43.212244039947166,242,51.74938974776241,0.9300879555355636,-0.09583072327407292
XOM,3657.2216197052003,6.661736753916658,49.62337480082134,-0.007443837446762079,-0.1497123833837519,56.37176939940434,379,53.13262815296989,0.913974580883085,-0.316727912062624
VOW3.DE,-2002.4647285690298,-4.5183164469573045,42.81087524666662,-0.020198517159280272,-0.4741535253988206,49.82089693641849,395,49.064279902359644,1.02163345052159,-0.14289763321244484
TM,-381.2706709365848,-0.8011171843940179,28.52810495963269,-0.010748834049967166,-0.25250143069146935,31.274344062558,179,49.55248169243287,1.0135966956469329,0.03920006885748847
KO,2403.969389465332,4.558468217433087,32.49227517211387,-0.001647053998106644,-0.03912429683059643,26.2747090893962,27,49.38974776240846,1.046742718859736,-0.10692016310708388
MCD,4924.080032073976,8.637593733412462,51.90488578485547,-0.006298030725848559,-0.1438657818641137,30.47615911279862,144,51.912123677786816,0.949378573900968,-0.2593863002460395
